Messort_Code;Messort_Name;Messort_Typ;Latitude;Longitude;Latitude_WGS84;Longitude_WGS84;X_LV95;Y_LV95;Messintervall;Gemeinde;Strasse_Nr;PLZ
41;Trüllikon-ZentralSchulhaus;Schulhaus;47 38 17.5;8 40 58.8;47.63819444;8.683;2693513;1277134;Einmalige Messung;Trüllikon;NA;NA
42;Unterstammheim-Sekundarschule;Schulhaus;47 38 06.9;8 47 29.3;47.63525;8.791472222;2701670;1276942;Einmalige Messung;Unterstammheim;NA;NA
43;Bachenbülach-Halden;Schulhaus;47 30 09.0;8 33 02.5;47.5025;8.550694444;2683785;1261899;Einmalige Messung;Bachenbülach;NA;NA
44;Bassersdorf-Geeren;Schulhaus;47 26 35.2;8 37 23.3;47.44311111;8.623138889;2689343;1255376;Einmalige Messung;Bassersdorf;NA;NA
45;Bassersdorf-Mösli;Schulhaus;47 26 45.8;8 37 48.9;47.44605556;8.63025;2689874;1255711;Einmalige Messung;Bassersdorf;NA;NA
46;Bülach-Hohfuri;Schulhaus;47 31 36.2;8 32 38.9;47.52672222;8.544138889;2683253;1264585;Einmalige Messung;Bülach;NA;NA
47;Bülach-Lindenhof;Schulhaus;47 31 03.9;8 32 07.5;47.51775;8.535416667;2682611;1263578;Einmalige Messung;Bülach;NA;NA
48;Bülach-Schwerzgrueb;Schulhaus;47 30 56.3;8 32 43.9;47.51563889;8.545527778;2683375;1263354;Einmalige Messung;Bülach;NA;NA
49;Dietlikon_Fadacher;Schulhaus;47 25 13.2;8 36 56.8;47.42033333;8.615777778;2688825;1252835;Einmalige Messung;Dietlikon;NA;NA
50;Eglisau Städtli;Schulhaus;47 34 33.3;8 31 36.0;47.57591667;8.526666667;2681862;1270035;Einmalige Messung;Eglisau;NA;NA
51;Embrach-Sekundarschule Hungerbühl;Schulhaus;47 30 18.4;8 35 50.7;47.50511111;8.597416667;2687301;1262240;Einmalige Messung;Embrach;NA;NA
52;Glattbrugg-Lättenwiesen;Schulhaus;47 25 37.3;8 33 51.8;47.42702778;8.564388889;2684937;1253523;Einmalige Messung;Glattbrugg;NA;NA
53;Glattfelden-Eichhölzli;Schulhaus;47 33 15.5;8 30 21.4;47.55430556;8.505944444;2680336;1267611;Einmalige Messung;Glattfelden;NA;NA
54;Glattfelden-Hof;Schulhaus;47 33 30.7;8 30 06.3;47.55852778;8.50175;2680013;1268076;Einmalige Messung;Glattfelden;NA;NA
55;Hüntwangen Primarschule;Schulhaus;47 35 45.6;8 29 25.5;47.596;8.490416667;2679105;1272231;Einmalige Messung;Hüntwangen;NA;NA
56;Kloten-Feld;Schulhaus;47 27 15.7;8 35 02.9;47.45436111;8.584138889;2686383;1256583;Einmalige Messung;Kloten;NA;NA
